dataset,cohesiveness.mean,cohesiveness.sd,conceptvar.mean,conceptvar.sd,impconceptvar.mean,impconceptvar.sd,wg_dist.mean,wg_dist.sd
178,12.495098039215684,0.0245049014704901,0.4900540747559539,0.0910732819420787,6.171568627450981,1.117743481392792,1.5147349475246636,0.0473744057183367
179,24.294117647058822,1.7583414645291036,0.2450026041764542,0.2579911929109051,7.970588235294118,5.777250007318258,0.1546613072883325,0.1736776919047514
180,inf,,,,,,,
181,64.49324324324324,6.046584037740999,0.2902067752879028,0.2463909613201568,19.199324324324323,15.668194294989028,0.6036465287550332,0.1279014613554793
182,103.5187074829932,14.597273269013323,0.4323190175888415,0.1718795050705724,45.86649659863946,17.53518622494995,0.7502118675795785,0.2089976391089988
183,16.416666666666668,1.1159224968016033,0.383033808903409,0.1542796852113325,6.888888888888889,3.211552946324258,0.8505986882309955,0.0429197191043563
184,inf,,,,,,,
185,3563.6127086547904,6.535419593161613,0.4743854757518218,0.0342020965085361,1775.2210688736147,109.19447831176625,0.3640838114064347,0.0653088452201562
186,4755.190291058107,12.883149028383295,0.4834778420032065,0.0148473153029569,2377.0505411369127,16.571587319114176,0.4383590926822074,0.0753846807251587
187,inf,,,,,,,
188,374.9505208333333,17.268788108988737,0.4443778467765442,0.1529369293174352,169.6875,54.74741395784561,0.5780190679561805,0.119676985107382
189,20.74418604651163,0.4894371527247713,0.4651153928577551,0.1370484731793362,10.093023255813954,2.218713199435892,0.3647328752016973,0.0852745473082148
190,21.84375,1.7309948252685168,0.489410280161862,0.0494739544280278,11.041666666666666,1.1853867908710771,0.6066481338444903,0.1077791023383728
191,80.42822580645161,6.063286254808206,0.3957616351493256,0.079807133414272,34.83709677419355,6.810570771241324,1.367504024145788,0.0736176609894036
192,330.43504531722056,0.3686503754301845,0.499188115809617,0.0178167455954994,165.16767371601208,7.001838230380761,0.3616598018028421,0.0712280897451723
193,330.476586102719,0.1382683297133954,0.5002952870235248,0.0083550102746889,165.48489425981873,1.0029072283220195,0.3402318708180256,0.0665559805882348
194,330.476586102719,0.1389504890770192,0.5003014559596727,0.0108199745801765,165.46601208459214,2.00235688355309,0.3428788284705601,0.0672447651228512
195,330.40256797583083,0.5239579882355416,0.4988154630816757,0.0223307675432806,165.00906344410876,8.499016194675745,0.3649496280794774,0.0718589743705081
196,inf,,,,,,,
197,160.49255952380952,13.73433777166912,0.4438134707259015,0.0546573684737793,78.22321428571429,13.607642598929957,0.5619606565483576,0.1330144987066094
